toros_field_id ra dec l b program exposure_time cadence ephemeris period observations moon_phase
00.000 0.000 -90.000 302.932 -27.128 main_survey 300.000 1 0 0 0 0
01.000 0.000 -88.735 303.252 -28.361 main_survey 300.000 1 0 0 0 0
01.001 51.429 -88.735 302.038 -28.114 main_survey 300.000 1 0 0 0 0
01.002 102.857 -88.735 301.511 -27.121 main_survey 300.000 1 0 0 0 0
01.003 154.286 -88.735 302.053 -26.137 main_survey 300.000 1 0 0 0 0
01.004 205.714 -88.735 303.245 -25.895 main_survey 300.000 1 0 0 0 0
01.005 257.143 -88.735 304.206 -26.574 main_survey 300.000 1 0 0 0 0
01.006 308.571 -88.735 304.219 -27.671 main_survey 300.000 1 0 0 0 0
02.000 13.846 -87.470 302.882 -29.658 main_survey 300.000 1 0 0 0 0
02.001 41.538 -87.470 301.540 -29.341 main_survey 300.000 1 0 0 0 0
02.002 69.231 -87.470 300.535 -28.509 main_survey 300.000 1 0 0 0 0
02.003 96.923 -87.470 300.099 -27.361 main_survey 300.000 1 0 0 0 0
02.004 124.615 -87.470 300.314 -26.166 main_survey 300.000 1 0 0 0 0
02.005 152.308 -87.470 301.115 -25.194 main_survey 300.000 1 0 0 0 0
02.006 180.000 -87.470 302.313 -24.661 main_survey 300.000 1 0 0 0 0
02.007 207.692 -87.470 303.644 -24.681 main_survey 300.000 1 0 0 0 0
02.008 235.385 -87.470 304.822 -25.251 main_survey 300.000 1 0 0 0 0
02.009 263.077 -87.470 305.586 -26.247 main_survey 300.000 1 0 0 0 0
02.00a 290.769 -87.470 305.756 -27.448 main_survey 300.000 1 0 0 0 0
02.00b 318.462 -87.470 305.274 -28.581 main_survey 300.000 1 0 0 0 0
02.00c 346.154 -87.470 304.236 -29.382 main_survey 300.000 1 0 0 0 0
03.000 0.000 -86.205 303.915 -30.824 main_survey 300.000 1 0 0 0 0
03.001 18.947 -86.205 302.463 -30.901 main_survey 300.000 1 0 0 0 0
03.002 37.895 -86.205 301.068 -30.554 main_survey 300.000 1 0 0 0 0
03.003 56.842 -86.205 299.895 -29.826 main_survey 300.000 1 0 0 0 0
03.004 75.789 -86.205 299.076 -28.802 main_survey 300.000 1 0 0 0 0
03.005 94.737 -86.205 298.692 -27.601 main_survey 300.000 1 0 0 0 0
03.006 113.684 -86.205 298.772 -26.354 main_survey 300.000 1 0 0 0 0
03.007 132.632 -86.205 299.292 -25.197 main_survey 300.000 1 0 0 0 0
03.008 151.579 -86.205 300.187 -24.250 main_survey 300.000 1 0 0 0 0
03.009 170.526 -86.205 301.359 -23.610 main_survey 300.000 1 0 0 0 0
03.00a 189.474 -86.205 302.688 -23.340 main_survey 300.000 1 0 0 0 0
03.00b 208.421 -86.205 304.041 -23.468 main_survey 300.000 1 0 0 0 0
03.00c 227.368 -86.205 305.284 -23.982 main_survey 300.000 1 0 0 0 0
03.00d 246.316 -86.205 306.290 -24.829 main_survey 300.000 1 0 0 0 0
03.00e 265.263 -86.205 306.954 -25.924 main_survey 300.000 1 0 0 0 0
03.00f 284.211 -86.205 307.196 -27.153 main_survey 300.000 1 0 0 0 0
03.010 303.158 -86.205 306.978 -28.386 main_survey 300.000 1 0 0 0 0
03.011 322.105 -86.205 306.307 -29.488 main_survey 300.000 1 0 0 0 0
03.012 341.053 -86.205 305.248 -30.334 main_survey 300.000 1 0 0 0 0
04.000 6.923 -84.941 303.549 -32.159 main_survey 300.000 1 0 0 0 0
04.001 20.769 -84.941 302.111 -32.137 main_survey 300.000 1 0 0 0 0
04.002 34.615 -84.941 300.727 -31.810 main_survey 300.000 1 0 0 0 0
04.003 48.462 -84.941 299.491 -31.200 main_survey 300.000 1 0 0 0 0
04.004 62.308 -84.941 298.479 -30.347 main_survey 300.000 1 0 0 0 0
04.005 76.154 -84.941 297.748 -29.306 main_survey 300.000 1 0 0 0 0
04.006 90.000 -84.941 297.336 -28.143 main_survey 300.000 1 0 0 0 0
04.007 103.846 -84.941 297.256 -26.927 main_survey 300.000 1 0 0 0 0
04.008 117.692 -84.941 297.502 -25.729 main_survey 300.000 1 0 0 0 0
04.009 131.538 -84.941 298.050 -24.616 main_survey 300.000 1 0 0 0 0
04.00a 145.385 -84.941 298.863 -23.650 main_survey 300.000 1 0 0 0 0
04.00b 159.231 -84.941 299.893 -22.883 main_survey 300.000 1 0 0 0 0
04.00c 173.077 -84.941 301.082 -22.355 main_survey 300.000 1 0 0 0 0
04.00d 186.923 -84.941 302.368 -22.095 main_survey 300.000 1 0 0 0 0
04.00e 200.769 -84.941 303.683 -22.115 main_survey 300.000 1 0 0 0 0
04.00f 214.615 -84.941 304.958 -22.415 main_survey 300.000 1 0 0 0 0
04.010 228.462 -84.941 306.129 -22.979 main_survey 300.000 1 0 0 0 0
04.011 242.308 -84.941 307.131 -23.777 main_survey 300.000 1 0 0 0 0
04.012 256.154 -84.941 307.909 -24.767 main_survey 300.000 1 0 0 0 0
04.013 270.000 -84.941 308.416 -25.896 main_survey 300.000 1 0 0 0 0
04.014 283.846 -84.941 308.617 -27.101 main_survey 300.000 1 0 0 0 0
04.015 297.692 -84.941 308.489 -28.314 main_survey 300.000 1 0 0 0 0
04.016 311.538 -84.941 308.030 -29.464 main_survey 300.000 1 0 0 0 0
04.017 325.385 -84.941 307.257 -30.481 main_survey 300.000 1 0 0 0 0
04.018 339.231 -84.941 306.209 -31.303 main_survey 300.000 1 0 0 0 0
04.019 353.077 -84.941 304.946 -31.875 main_survey 300.000 1 0 0 0 0
05.000 0.000 -83.676 304.612 -33.284 main_survey 300.000 1 0 0 0 0
05.001 11.250 -83.676 303.144 -33.450 main_survey 300.000 1 0 0 0 0
05.002 22.500 -83.676 301.666 -33.358 main_survey 300.000 1 0 0 0 0
05.003 33.750 -83.676 300.247 -33.011 main_survey 300.000 1 0 0 0 0
05.004 45.000 -83.676 298.951 -32.427 main_survey 300.000 1 0 0 0 0
05.005 56.250 -83.676 297.833 -31.631 main_survey 300.000 1 0 0 0 0
05.006 67.500 -83.676 296.937 -30.660 main_survey 300.000 1 0 0 0 0
05.007 78.750 -83.676 296.294 -29.555 main_survey 300.000 1 0 0 0 0
05.008 90.000 -83.676 295.922 -28.361 main_survey 300.000 1 0 0 0 0
05.009 101.250 -83.676 295.825 -27.127 main_survey 300.000 1 0 0 0 0
05.00a 112.500 -83.676 295.998 -25.899 main_survey 300.000 1 0 0 0 0
05.00b 123.750 -83.676 296.426 -24.724 main_survey 300.000 1 0 0 0 0
05.00c 135.000 -83.676 297.088 -23.644 main_survey 300.000 1 0 0 0 0
05.00d 146.250 -83.676 297.954 -22.697 main_survey 300.000 1 0 0 0 0
05.00e 157.500 -83.676 298.992 -21.917 main_survey 300.000 1 0 0 0 0
05.00f 168.750 -83.676 300.163 -21.329 main_survey 300.000 1 0 0 0 0
05.010 180.000 -83.676 301.428 -20.955 main_survey 300.000 1 0 0 0 0
05.011 191.250 -83.676 302.742 -20.806 main_survey 300.000 1 0 0 0 0
05.012 202.500 -83.676 304.063 -20.889 main_survey 300.000 1 0 0 0 0
05.013 213.750 -83.676 305.347 -21.199 main_survey 300.000 1 0 0 0 0
05.014 225.000 -83.676 306.549 -21.728 main_survey 300.000 1 0 0 0 0
05.015 236.250 -83.676 307.629 -22.455 main_survey 300.000 1 0 0 0 0
05.016 247.500 -83.676 308.548 -23.358 main_survey 300.000 1 0 0 0 0
05.017 258.750 -83.676 309.271 -24.404 main_survey 300.000 1 0 0 0 0
05.018 270.000 -83.676 309.769 -25.556 main_survey 300.000 1 0 0 0 0
05.019 281.250 -83.676 310.017 -26.773 main_survey 300.000 1 0 0 0 0
05.01a 292.500 -83.676 309.998 -28.010 main_survey 300.000 1 0 0 0 0
05.01b 303.750 -83.676 309.704 -29.220 main_survey 300.000 1 0 0 0 0
05.01c 315.000 -83.676 309.137 -30.356 main_survey 300.000 1 0 0 0 0
05.01d 326.250 -83.676 308.312 -31.370 main_survey 300.000 1 0 0 0 0
05.01e 337.500 -83.676 307.253 -32.219 main_survey 300.000 1 0 0 0 0
05.01f 348.750 -83.676 306.003 -32.867 main_survey 300.000 1 0 0 0 0
06.000 4.737 -82.411 304.231 -34.635 main_survey 300.000 1 0 0 0 0
06.001 14.211 -82.411 302.715 -34.715 main_survey 300.000 1 0 0 0 0
06.002 23.684 -82.411 301.206 -34.572 main_survey 300.000 1 0 0 0 0
06.003 33.158 -82.411 299.756 -34.210 main_survey 300.000 1 0 0 0 0
06.004 42.632 -82.411 298.414 -33.643 main_survey 300.000 1 0 0 0 0
06.005 52.105 -82.411 297.221 -32.889 main_survey 300.000 1 0 0 0 0
06.006 61.579 -82.411 296.213 -31.974 main_survey 300.000 1 0 0 0 0
06.007 71.053 -82.411 295.414 -30.927 main_survey 300.000 1 0 0 0 0
06.008 80.526 -82.411 294.841 -29.779 main_survey 300.000 1 0 0 0 0
06.009 90.000 -82.411 294.502 -28.565 main_survey 300.000 1 0 0 0 0
06.00a 99.474 -82.411 294.398 -27.318 main_survey 300.000 1 0 0 0 0
06.00b 108.947 -82.411 294.525 -26.074 main_survey 300.000 1 0 0 0 0
